obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"350.12154"	"0.00005"	"350.12159"	"0.00010"	"2000"	"1.20e+06"	C	"134459.2871"	"163012.6247"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"1"	"2s2.2p5.(2P*<3/2>).4p"	"2[3/2]"	"1"		"T6976"	"L3451"	
"351.07207"	"0.00005"	"351.07207"	"0.00010"	"500"	"2.51e+05"	C	"134041.8400"	"162517.8755"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<3/2>).4p"	"2[1/2]"	"1"		"T6976"	"L3451"	
"351.51900"	"0.00005"	"351.51902"	"0.00010"	"2000"	"6.7e+05"	C	"134459.2871"	"162899.1169"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"1"	"2s2.2p5.(2P*<3/2>).4p"	"2[5/2]"	"2"		"T6976"	"L3451"	
"352.04714"	"0.00005"	"352.04711"	"0.00010"	"10000"	"7.58e+06"	C+	"135888.7173"	"164285.8872"	"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"1"	"2s2.2p5.(2P*<1/2>).4p"	"2[1/2]"	"0"		"T6976"	"L3451"	
"356.29551"	"0.00005"	"356.29536"	"0.00010"	"150"	""		"134459.2871"	"162517.8755"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"1"	"2s2.2p5.(2P*<3/2>).4p"	"2[1/2]"	"1"		""	"L3451"	
"359.35263"	"0.00005"	"359.35257"	"0.00010"	"5000"	"8.87e+05"	C+	"135888.7173"	"163708.6029"	"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"1"	"2s2.2p5.(2P*<1/2>).4p"	"2[3/2]"	"2"		"T6976"	"L3451"	
"359.36385"	"0.00004"	"359.36389"	"0.00010"	"3000"	"7.4e+05"	C	"135888.7173"	"163707.7261"	"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"1"	"2s2.2p5.(2P*<1/2>).4p"	"2[1/2]"	"1"		"T6976"	"L5951"	
"360.01694"	"0.00005"	"360.01685"	"0.00010"	"1000"	"4.37e+05"	C	"135888.7173"	"163657.2726"	"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"1"	"2s2.2p5.(2P*<1/2>).4p"	"2[3/2]"	"1"		"T6976"	"L3451"	
"360.91787"	"0.00005"	"360.91786"	"0.00010"	"500"	"5.0e+04"	D	"134818.6405"	"162517.8755"	"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"0"	"2s2.2p5.(2P*<3/2>).4p"	"2[1/2]"	"1"		"T3163"	"L3451"	
"363.36643"	"0.00005"	"363.36640"	"0.00010"	"1000"	"8.2e+05"	C	"135888.7173"	"163401.3061"	"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"1"	"2s2.2p5.(2P*<3/2>).4p"	"2[1/2]"	"0"		"T6976"	"L3451"	
"368.22421"	"0.00005"	"368.22421"	"0.00010"	"1000"	"1.35e+05"	C	"135888.7173"	"163038.3544"	"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"1"	"2s2.2p5.(2P*<3/2>).4p"	"2[3/2]"	"2"		"T6976"	"L3451"	
"368.57351"	"0.00005"	"368.57352"	"0.00010"	"1000"	"3.96e+05"	C	"135888.7173"	"163012.6247"	"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"1"	"2s2.2p5.(2P*<3/2>).4p"	"2[3/2]"	"1"		"T6976"	"L3451"	
"370.12247"	"0.00005"	"370.12244"	"0.00010"	"400"	"2.21e+05"	C	"135888.7173"	"162899.1169"	"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"1"	"2s2.2p5.(2P*<3/2>).4p"	"2[5/2]"	"2"		"T6976"	"L3451"	
"375.42148"	"0.00005"	"375.42151"	"0.00010"	"500"	"8.0e+04"	D+	"135888.7173"	"162517.8755"	"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"1"	"2s2.2p5.(2P*<3/2>).4p"	"2[1/2]"	"1"		"T3163"	"L3451"	
"376.5819"	"0.0020"	"376.583956"	"0.000020"	"50f"	""		"135888.7173"	"162435.6780"	"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"1"	"2s2.2p5.(2P*<1/2>).3d"	"2[3/2]*"	"1"	UT	""	"L3469"	
"376.8047"	"0.0020"	"376.806753"	"0.000020"	"50f"	""		"135888.7173"	"162419.9818"	"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"1"	"2s2.2p5.(2P*<1/2>).3d"	"2[3/2]*"	"2"	UT	""	"L3469"	
"376.9449"	"0.0020"	"376.946108"	"0.000020"	"70f"	""		"135888.7173"	"162410.1736"	"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"1"	"2s2.2p5.(2P*<1/2>).3d"	"2[5/2]*"	"3"	UT	""	"L3469"	
"376.9654"	"0.0020"	"376.967714"	"0.000020"	"50f"	""		"135888.7173"	"162408.6535"	"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"1"	"2s2.2p5.(2P*<1/2>).3d"	"2[5/2]*"	"2"	UT	""	"L3469"	
"388.2698"	"0.0020"	"388.271148"	"0.000021"	"20f"	""		"135888.7173"	"161636.6175"	"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"1"	"2s2.2p5.(2P*<3/2>).3d"	"2[3/2]*"	"1"	UT	""	"L3469"	
"388.7134"	"0.0020"	"388.714352"	"0.000021"	"10f"	""		"135888.7173"	"161607.2609"	"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"1"	"2s2.2p5.(2P*<3/2>).3d"	"2[3/2]*"	"2"	UT	""	"L3469"	
"388.9427"	"0.0020"	"388.943335"	"0.000021"	"50f"	""		"135888.7173"	"161592.1200"	"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"1"	"2s2.2p5.(2P*<3/2>).3d"	"2[7/2]*"	"3"	UT	""	"L3469"	
"389.9723"	"0.0020"	"389.974242"	"0.000022"	"20f"	""		"135888.7173"	"161524.1739"	"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"1"	"2s2.2p5.(2P*<3/2>).3d"	"2[1/2]*"	"1"	UT	""	"L3469"	
"394.3540"	"0.0020"	"394.3545"	"0.0012"	"20"	""		"148257.7898"	"173608.51"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).10d"	"2[3/2]*"	"2"		""	"L3469"	
"398.4065"	"0.0020"	"398.4050"	"0.0014"	"20"	""		"148257.7898"	"173350.78"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).9d"	"2[3/2]*"	"1"		""	"L3469"	
"398.4253"	"0.0020"	"398.4252"	"0.0013"	"70"	""		"148257.7898"	"173349.51"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).9d"	"2[3/2]*"	"2"		""	"L3469"	
"399.5298"	"0.0020"	"399.5297"	"0.0021"	"10"	""		"148257.7898"	"173280.14"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).13d"	"2[3/2]*"	"2"		""	"L3469"	
"399.5721"	"0.0020"	"399.5705"	"0.0022"	"10"	""		"148257.7898"	"173277.59"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).13d"	"2[1/2]*"	"1"		""	"L3469"	
"399.8594"	"0.0020"	"399.8602"	"0.0010"	"10"	""		"148257.7898"	"173259.46"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).10s"	"2[1/2]*"	"1"		""	"L3469"	
"399.9263"	"0.0020"	"399.9277"	"0.0010"	"10"	""		"148257.7898"	"173255.24"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).10s"	"2[1/2]*"	"0"		""	"L3469"	
"401.3752"	"0.0020"	"401.3753"	"0.0019"	"10"	""		"148257.7898"	"173165.09"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).12d"	"2[3/2]*"	"2"		""	"L3469"	
"401.3995"	"0.0020"	"401.397"	"0.003"	"20"	""		"148257.7898"	"173163.72"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).12d"	"2[1/2]*"	"1"		""	"L3469"	
"402.0015"	"0.0020"	"402.0043"	"0.0015"	"20"	""		"148257.7898"	"173126.12"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).13s"	"2[3/2]*"	"2"		""	"L3469"	
"403.7262"	"0.0020"	"403.7261"	"0.0020"	"50"	""		"148257.7898"	"173020.06"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).11d"	"2[3/2]*"	"2"		""	"L3469"	
"403.7615"	"0.0020"	"403.7600"	"0.0021"	"150"	""		"148257.7898"	"173017.98"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).11d"	"2[1/2]*"	"1"		""	"L3469"	
"403.7696"	"0.0020"	"403.7697"	"0.0020"	"50"	""		"148257.7898"	"173017.39"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).11d"	"2[1/2]*"	"0"		""	"L3469"	
"404.2327"	"0.0020"	"404.2333"	"0.0011"	"100"	""		"148257.7898"	"172988.99"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).8d"	"2[3/2]*"	"1"		""	"L3469"	
"404.2642"	"0.0020"	"404.2647"	"0.0013"	"500"	""		"148257.7898"	"172987.07"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).8d"	"2[3/2]*"	"2"		""	"L3469"	
"404.5662"	"0.0020"	"404.5684"	"0.0013"	"20"	""		"148257.7898"	"172968.51"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).12s"	"2[3/2]*"	"2"		""	"L3469"	
"406.4036"	"0.0020"	"406.4023"	"0.0008"	"500"	""		"148257.7898"	"172857.00"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).9s"	"2[1/2]*"	"1"		""	"L3469"	
"406.4829"	"0.0020"	"406.4828"	"0.0010"	"150"	""		"148257.7898"	"172852.13"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).9s"	"2[1/2]*"	"0"		""	"L3469"	
"406.8835"	"0.0020"	"406.8832"	"0.0013"	"300"	""		"148257.7898"	"172827.93"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).10d"	"2[3/2]*"	"2"		""	"L3469"	
"406.9243"	"0.0020"	"406.9228"	"0.0022"	"300"	""		"148257.7898"	"172825.54"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).10d"	"2[1/2]*"	"1"		""	"L3469"	
"406.9389"	"0.0020"	"406.9388"	"0.0020"	"50"	""		"148257.7898"	"172824.57"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).10d"	"2[1/2]*"	"0"		""	"L3469"	
"407.9359"	"0.0020"	"407.9347"	"0.0008"	"20"	""		"148257.7898"	"172764.60"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).11s"	"2[3/2]*"	"1"		""	"L3469"	
"408.0148"	"0.0020"	"408.0143"	"0.0010"	"500"	""		"148257.7898"	"172759.82"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).11s"	"2[3/2]*"	"2"		""	"L3469"	
"411.1882"	"0.0020"	"411.1859"	"0.0008"	"10"	""		"148257.7898"	"172570.83"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).9d"	"2[3/2]*"	"1"		""	"L3469"	
"411.2100"	"0.0020"	"411.2101"	"0.0007"	"150"	""		"148257.7898"	"172569.40"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).9d"	"2[3/2]*"	"2"		""	"L3469"	
"411.2694"	"0.0020"	"411.2688"	"0.0008"	"200"	""		"148257.7898"	"172565.93"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).9d"	"2[1/2]*"	"1"		""	"L3469"	
"411.2865"	"0.0020"	"411.2865"	"0.0020"	"100"	""		"148257.7898"	"172564.88"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).9d"	"2[1/2]*"	"0"		""	"L3469"	
"412.6941"	"0.0020"	"412.69650"	"0.00004"	"20"	""		"148257.7898"	"172481.8376"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).10s"	"2[3/2]*"	"1"		""	"L3469"	
"412.8072"	"0.0020"	"412.80756"	"0.00009"	"300"	""		"148257.7898"	"172475.321"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).10s"	"2[3/2]*"	"2"		""	"L3469"	
"413.0512"	"0.0020"	"413.05240"	"0.00019"	"200"	""		"148257.7898"	"172460.966"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).7d"	"2[3/2]*"	"1"		""	"L3469"	
"413.10613"	"0.00020"	"413.10605"	"0.00014"	"700"	""		"148257.7898"	"172457.823"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).7d"	"2[3/2]*"	"2"		""	"L4498"	
"416.48079"	"0.00020"	"416.48067"	"0.00007"	"500"	""		"148257.7898"	"172261.741"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).8s"	"2[1/2]*"	"1"		""	"L4498"	
"416.6091"	"0.0020"	"416.60990"	"0.00016"	"300"	""		"148257.7898"	"172254.295"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).8s"	"2[1/2]*"	"0"		""	"L3469"	
"417.3966"	"0.0020"	"417.3952"	"0.0009"	"20"	""		"148257.7898"	"172209.15"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).8d"	"2[3/2]*"	"1"		""	"L3469"	
"417.43667"	"0.00020"	"417.43665"	"0.00019"	"700"	""		"148257.7898"	"172206.770"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).8d"	"2[3/2]*"	"2"		""	"L4498"	
"417.52197"	"0.00020"	"417.52194"	"0.00019"	"600"	""		"148257.7898"	"172201.878"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).8d"	"2[1/2]*"	"1"		""	"L4498"	
"417.5488"	"0.0020"	"417.5489"	"0.0010"	"400"	""		"148257.7898"	"172200.33"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).8d"	"2[1/2]*"	"0"		""	"L3469"	
"419.6415"	"0.0020"	"419.64197"	"0.00009"	"150"	""		"148257.7898"	"172080.915"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).9s"	"2[3/2]*"	"1"		""	"L3469"	
"419.81018"	"0.00020"	"419.80984"	"0.00012"	"700"	""		"148257.7898"	"172071.389"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).9s"	"2[3/2]*"	"2"		""	"L4498"	
"420.3270"	"0.0020"	"420.3267"	"0.0012"	"20*"	""		"149824.2215"	"173608.54"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"2"	"2s2.2p5.(2P*<1/2>).10d"	"2[5/2]*"	"3"		""	"L3469"	
"420.3270"	"0.0020"	"420.3272"	"0.0009"	"20*"	""		"149824.2215"	"173608.51"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"2"	"2s2.2p5.(2P*<1/2>).10d"	"2[5/2]*"	"2"		""	"L3469"	
"420.3270"	"0.0020"	"420.3272"	"0.0014"	"20*"	""		"149824.2215"	"173608.51"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"2"	"2s2.2p5.(2P*<1/2>).10d"	"2[3/2]*"	"2"		""	"L3469"	
"423.2323"	"0.0020"	"423.2324"	"0.0020"	"10"	""		"149657.0392"	"173278.07"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"3"	"2s2.2p5.(2P*<3/2>).13d"	"2[7/2]*"	"4"		""	"L3469"	
"424.9538"	"0.0020"	"424.9547"	"0.0011"	"20"	""		"149824.2215"	"173349.52"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"2"	"2s2.2p5.(2P*<1/2>).9d"	"2[5/2]*"	"3"		""	"L3469"	
"425.2418"	"0.0020"	"425.2419"	"0.0020"	"20"	""		"149657.0392"	"173166.45"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"3"	"2s2.2p5.(2P*<3/2>).12d"	"2[5/2]*"	"3"		""	"L3469"	
"425.2775"	"0.0020"	"425.2775"	"0.0020"	"20"	""		"149657.0392"	"173164.48"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"3"	"2s2.2p5.(2P*<3/2>).12d"	"2[7/2]*"	"4"		""	"L3469"	
"425.6498"	"0.0020"	"425.6491"	"0.0009"	"20*"	""		"150121.5922"	"173608.51"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<1/2>).10d"	"2[5/2]*"	"2"		""	"L3469"	
"425.6498"	"0.0020"	"425.6491"	"0.0015"	"20*"	""		"150121.5922"	"173608.51"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<1/2>).10d"	"2[3/2]*"	"2"		""	"L3469"	
"425.9739"	"0.0020"	"425.9726"	"0.0016"	"10"	""		"149657.0392"	"173126.12"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"3"	"2s2.2p5.(2P*<3/2>).13s"	"2[3/2]*"	"2"		""	"L3469"	
"426.2479"	"0.0020"	"426.2478"	"0.0020"	"20"	""		"149824.2215"	"173278.15"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"2"	"2s2.2p5.(2P*<3/2>).13d"	"2[7/2]*"	"3"		""	"L3469"	
"426.7286"	"0.0020"	"426.72870"	"0.00006"	"10"	""		"148257.7898"	"171685.289"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).7d"	"2[5/2]*"	"2"		""	"L3469"	
"426.7724"	"0.0020"	"426.77197"	"0.00017"	"50"	""		"148257.7898"	"171682.914"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).7d"	"2[3/2]*"	"1"		""	"L3469"	
"426.80086"	"0.00020"	"426.80050"	"0.00011"	"700"	""		"148257.7898"	"171681.348"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).7d"	"2[3/2]*"	"2"		""	"L4498"	
"426.97223"	"0.00020"	"426.97221"	"0.00020"	"700"	""		"148257.7898"	"171671.928"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).7d"	"2[1/2]*"	"1"		""	"L4498"	
"427.02252"	"0.00020"	"427.02248"	"0.00020"	"500"	""		"148257.7898"	"171669.172"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).7d"	"2[1/2]*"	"0"		""	"L4498"	
"427.46617"	"0.00020"	"427.46600"	"0.00006"	"500"	""		"148257.7898"	"171644.882"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).6d"	"2[3/2]*"	"1"		""	"L4498"	
"427.5167"	"0.0020"	"427.51579"	"0.00003"	"10"	""		"148257.7898"	"171642.1580"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).6d"	"2[5/2]*"	"2"		""	"L3469"	
"427.55590"	"0.00020"	"427.55572"	"0.00003"	"700"	""		"148257.7898"	"171639.9741"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).6d"	"2[3/2]*"	"2"		""	"L4498"	
"427.8850"	"0.0020"	"427.8839"	"0.0016"	"50"	""		"149657.0392"	"173021.29"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"3"	"2s2.2p5.(2P*<3/2>).11d"	"2[5/2]*"	"3"		""	"L3469"	
"427.9279"	"0.0020"	"427.9279"	"0.0020"	"150"	""		"149657.0392"	"173018.89"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"3"	"2s2.2p5.(2P*<3/2>).11d"	"2[7/2]*"	"4"		""	"L3469"	
"428.3242"	"0.0020"	"428.3241"	"0.0020"	"100"	""		"149824.2215"	"173164.46"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"2"	"2s2.2p5.(2P*<3/2>).12d"	"2[7/2]*"	"3"		""	"L3469"	
"428.8541"	"0.0020"	"428.8527"	"0.0015"	"50"	""		"149657.0392"	"172968.51"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"3"	"2s2.2p5.(2P*<3/2>).12s"	"2[3/2]*"	"2"		""	"L3469"	
"428.9799"	"0.0020"	"428.9786"	"0.0022"	"20"	""		"149824.2215"	"173128.85"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"2"	"2s2.2p5.(2P*<3/2>).13s"	"2[3/2]*"	"1"		""	"L3469"	
"429.1976"	"0.0020"	"429.1987"	"0.0013"	"20*"	""		"150315.8612"	"173608.54"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"2"	"2s2.2p5.(2P*<1/2>).10d"	"2[5/2]*"	"3"		""	"L3469"	
"429.1976"	"0.0020"	"429.1992"	"0.0009"	"20*"	""		"150315.8612"	"173608.51"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"2"	"2s2.2p5.(2P*<1/2>).10d"	"2[5/2]*"	"2"		""	"L3469"	
"429.1976"	"0.0020"	"429.1992"	"0.0015"	"20*"	""		"150315.8612"	"173608.51"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"2"	"2s2.2p5.(2P*<1/2>).10d"	"2[3/2]*"	"2"		""	"L3469"	
"430.3248"	"0.0020"	"430.32535"	"0.00009"	"300"	""		"148257.7898"	"171489.486"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).8s"	"2[3/2]*"	"1"		""	"L3469"	
"430.3695"	"0.0020"	"430.3718"	"0.0017"	"10"	""		"150121.5922"	"173350.78"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<1/2>).9d"	"2[3/2]*"	"1"		""	"L3469"	
"430.3955"	"0.0020"	"430.3963"	"0.0015"	"50"	""		"150121.5922"	"173349.46"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<1/2>).9d"	"2[5/2]*"	"2"		""	"L3469"	
"430.62508"	"0.00020"	"430.62518"	"0.00008"	"700"	""		"148257.7898"	"171473.311"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).8s"	"2[3/2]*"	"2"		""	"L4498"	
"431.0130"	"0.0020"	"431.0131"	"0.0020"	"20"	""		"149824.2215"	"173018.85"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"2"	"2s2.2p5.(2P*<3/2>).11d"	"2[7/2]*"	"3"		""	"L3469"	
"431.4110"	"0.0020"	"431.4114"	"0.0015"	"10"	""		"149657.0392"	"172830.25"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"3"	"2s2.2p5.(2P*<3/2>).10d"	"2[5/2]*"	"3"		""	"L3469"	
"431.4695"	"0.0020"	"431.4695"	"0.0020"	"300"	""		"149657.0392"	"172827.13"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"3"	"2s2.2p5.(2P*<3/2>).10d"	"2[7/2]*"	"4"		""	"L3469"	
"431.6008"	"0.0020"	"431.60048"	"0.00010"	"150"	""		"149824.2215"	"172987.283"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"2"	"2s2.2p5.(2P*<1/2>).8d"	"2[5/2]*"	"3"		""	"L3469"	
"431.8834"	"0.0020"	"431.88005"	"0.00008"	"50"	""		"149824.2215"	"172972.289"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"2"	"2s2.2p5.(2P*<3/2>).12s"	"2[3/2]*"	"1"		""	"L3469"	
"431.9511"	"0.0020"	"431.9506"	"0.0015"	"10"	""		"149824.2215"	"172968.51"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"2"	"2s2.2p5.(2P*<3/2>).12s"	"2[3/2]*"	"2"		""	"L3469"	
"432.1492"	"0.0020"	"432.1493"	"0.0011"	"20"	""		"150121.5922"	"173255.24"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<1/2>).10s"	"2[1/2]*"	"0"		""	"L3469"	
"432.7265"	"0.0020"	"432.7266"	"0.0011"	"100"	""		"149657.0392"	"172759.82"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"3"	"2s2.2p5.(2P*<3/2>).11s"	"2[3/2]*"	"2"		""	"L3469"	
"433.41267"	"0.00004"	"433.41253"	"0.00003"	"700"	""		"148257.7898"	"171324.0107"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).7s"	"2[1/2]*"	"1"		""	"L3451"	
"433.62268"	"0.00020"	"433.62251"	"0.00003"	"500"	""		"148257.7898"	"171312.8413"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).7s"	"2[1/2]*"	"0"		""	"L4498"	
"433.8200"	"0.0020"	"433.8200"	"0.0021"	"20"	""		"150121.5922"	"173166.15"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<3/2>).12d"	"2[5/2]*"	"2"		""	"L3469"	
"434.0256"	"0.0020"	"434.0252"	"0.0011"	"20"	""		"150315.8612"	"173349.52"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"2"	"2s2.2p5.(2P*<1/2>).9d"	"2[5/2]*"	"3"		""	"L3469"	
